SL,City,2021,2022,2023,Actual Population (in Lakhs) (2011)+,Rate of Total Crime against Women (2023),Chargesheeting Rate (2023)
1,Agra,1093,962,1030,8.0,128.1,81.3
2,Amritsar,292,226,306,5.5,55.3,69.7
3,Asansol,790,447,695,6.0,116.8,93.2
4,Aurangabad,757,834,977,5.7,171.6,80.0
5,Bhopal,1442,2047,1886,9.0,210.0,74.8
6,Chandigarh City,343,325,371,4.6,80.2,63.5
7,Dhanbad,346,297,302,5.6,53.7,67.9
8,Durg-Bhilainagar,538,589,504,5.2,97.2,81.5
9,Faridabad,1303,1213,1424,6.5,217.7,60.0
10,Gwalior,1241,1128,1159,5.1,225.8,88.9
11,Jabalpur,943,1039,809,6.0,133.8,82.5
12,Jamshedpur,389,330,266,6.4,41.5,80.1
13,Jodhpur,1070,1380,1304,5.4,242.2,60.8
14,Kannur,418,370,445,8.9,50.3,95.7
15,Kollam,635,809,707,5.8,121.9,97.1
16,Kota,939,1090,1026,4.7,217.6,61.3
17,Ludhiana,520,626,441,7.4,59.7,83.1
18,Madurai,272,283,260,7.3,35.6,90.1
19,Malappuram,401,401,410,8.9,46.1,91.7
20,Meerut,634,825,589,6.7,87.9,84.9
21,Nasik,405,550,702,7.4,95.1,61.8
22,Prayagraj,454,496,589,5.6,105.0,84.3
23,Raipur,466,825,706,5.4,129.7,69.9
24,Rajkot,242,345,381,6.6,57.8,86.9
25,Ranchi,295,332,364,5.4,67.4,80.7
26,Srinagar,367,446,399,6.0,66.9,81.0
27,Thiruvananthapuram,508,591,760,8.7,87.1,94.0
28,Thrissur,690,822,860,9.8,87.9,93.1
29,Tiruchirapalli,104,110,119,5.1,23.1,85.6
30,Vadodara,238,218,300,8.7,34.4,92.8
31,Varanasi,733,534,680,6.7,100.9,81.2
32,Vasai Virar,845,1154,1191,5.7,208.3,69.4
33,Vijayawada,1466,2366,2221,7.4,300.0,97.5
34,Vishakhapatnam,1890,1329,997,8.6,116.6,97.6
